"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5,R17,R3,R4,R12,R11,R14,R6";"R_0402_1005Metric";8;"160";;;
2;"C2";"CP_EIA-2012-12_Kemet-R";1;"10n";;;
3;"TP8";"TestPoint_Pad_D1.5mm";1;"5V_TP";;;
4;"R8";"R_0402_1005Metric";1;"1k";;;
5;"R10,R2,R15,R13,R9";"R_0402_1005Metric";5;"10k";;;
6;"S2";"PinHeader_1x03_P2.54mm_Vertical";1;"SWITCH1";;;
7;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"MOTOR";;;
8;"D2";"LED_0805_2012Metric";1;"MS2";;;
9;"D9";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"LIGHT";;;
10;"Q1";"PinHeader_1x02_P2.54mm_Vertical";1;"Q_Photo_NPN";;;
11;"TP1";"TestPoint_Pad_D1.5mm";1;"STEP_TP";;;
12;"D5";"LED_0805_2012Metric";1;"E";;;
13;"C16,C7,C8,C4,C6,C5";"C_0402_1005Metric";6;"100n";;;
14;"H2,H4,H3,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
15;"Q2";"SOT-223";1;"BCP56";;;
16;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32L476RGTx";;;
17;"D8";"D_0805_2012Metric";1;"D_Schottky";;;
18;"C10,C9";"C_0402_1005Metric";2;"20p";;;
19;"C1";"CP_EIA-2012-12_Kemet-R";1;"1u";;;
20;"J6";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"PowerTerminal";;;
21;"D1";"LED_0805_2012Metric";1;"MS1";;;
22;"C3";"CP_EIA-2012-12_Kemet-R";1;"4.7u";;;
23;"R1";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"2k";;;
24;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"UART1";;;
25;"L1";"SRP1040VA-1R5M";1;"68u";;;
26;"FB1";"L_0603_1608Metric";1;"FerriteBead";;;
27;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"UART3";;;
28;"TP5";"TestPoint_Pad_D1.5mm";1;"S1_TP";;;
29;"D4";"LED_0805_2012Metric";1;"USR";;;
30;"D7";"LED_0805_2012Metric";1;"S2";;;
31;"TP3";"TestPoint_Pad_D1.5mm";1;"12V_TP";;;
32;"U2";"TO-263-5_TabPin3";1;"LM2576HVS-5";;;
33;"TP6";"TestPoint_Pad_D1.5mm";1;"S2_TP";;;
34;"TP2";"TestPoint_Pad_D1.5mm";1;"3V3_TP";;;
35;"U3";"TO-252-3_TabPin2";1;"AMS1117CD-3.3";;;
36;"C14";"C_Elec_8x5.4";1;"100u";;;
37;"A1";"Pololu_Breakout-16_15.2x20.3mm";1;"Pololu_Breakout_A4988";;;
38;"C15";"C_Elec_8x5.4";1;"1000u";;;
39;"D3";"LED_0805_2012Metric";1;"MS3";;;
40;"S3";"PinHeader_1x03_P2.54mm_Vertical";1;"SWITCH2";;;
41;"J3";"BarrelJack_Horizontal";1;"POWER";;;
42;"D10";"LED_0805_2012Metric";1;"PWR";;;
43;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"SWD";;;
44;"HSE1";"Crystal_SMD_MicroCrystal_CC4V-T1A-2Pin_5.0x1.9mm";1;"8M";;;
45;"D6";"LED_0805_2012Metric";1;"S1";;;
46;"R7";"R_0402_1005Metric";1;"390";;;
47;"S1";"Switch_Slide_11.6x4mm_EG1218";1;"BOOT";;;
48;"R16";"R_0603_1608Metric";1;"100";;;
49;"SW1";"SW_PUSH_6mm";1;"RESET";;;
50;"SW2";"PinHeader_1x02_P2.54mm_Vertical";1;"ESTOP";;;
51;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"BYPASS";;;
